Date,Open,High,Low,Close,Volume
6/16/2011,1219.95,1230,1205.3,1217.85,2721246
6/17/2011,1244.7,1244.7,1213.5,1222.55,1261081
6/20/2011,1225,1237.5,1201,1226.4,1426140
6/21/2011,1231,1260,1226.4,1241.85,1295258
6/22/2011,1253,1267.6,1245,1254.65,1429712
6/23/2011,1247.35,1252,1232.85,1244.35,954141
6/24/2011,1251,1278,1249.95,1272.25,1089884
6/27/2011,1267,1312.4,1250,1306.4,1751561
6/28/2011,1311.05,1312.1,1290.25,1302.9,1376817
6/29/2011,1312,1316,1286.6,1293.55,1337460
6/30/2011,1295.7,1306,1281.1,1289.55,1511499
7/1/2011,1314,1315,1293,1309.15,855494
7/4/2011,1323.9,1337.7,1312.55,1334.2,878836
7/5/2011,1339.5,1339.5,1320.05,1327.95,780888
7/6/2011,1326.25,1330.6,1306,1310.15,538234
7/7/2011,1312.95,1335,1309.6,1331.7,574084
7/8/2011,1334.1,1337.9,1302.8,1305.95,854488
7/11/2011,1306,1306,1260.05,1263.95,1286456
7/12/2011,1254.4,1272.25,1245.2,1266.4,1443199
7/13/2011,1269,1283.9,1262.7,1271.8,960276
7/14/2011,1266.6,1294.2,1265,1279.25,814482
7/15/2011,1281,1286.85,1262.55,1267.9,557960
7/18/2011,1265.25,1269.5,1252.1,1262.5,794889
7/19/2011,1267.7,1278,1263,1273.05,710784
7/20/2011,1279.2,1281.55,1260,1262.65,936200
7/21/2011,1259.3,1261.9,1232,1239.6,2440745
7/22/2011,1247.25,1312,1241,1296.9,4217583
7/25/2011,1294.7,1340,1293.35,1337.25,2430128
7/26/2011,1335,1340,1305.6,1319.55,2190303
7/27/2011,1322,1324.85,1293.75,1300.5,1429725
7/28/2011,1285,1307.95,1285,1301.5,1353005
7/29/2011,1300,1342,1292.4,1337.5,1850972
8/1/2011,1349,1367.55,1346.5,1353,1226610
8/2/2011,1345,1347.95,1326.1,1342.8,970086
8/3/2011,1330.7,1330.7,1292.75,1301.15,1833923
8/4/2011,1303.6,1312.8,1281,1285.95,1569675
8/5/2011,1245,1252.5,1200,1242.05,3125692
8/8/2011,1205.2,1265.8,1200.55,1235.45,1660178
8/9/2011,1190.5,1238.3,1180.9,1205.2,3618186
8/9/2011,1190.5,1238.3,1180.9,1205.2,3618186
8/10/2011,1242,1253.7,1225.3,1250.1,1903396
8/11/2011,1237,1252.5,1206.2,1210.85,1869862
8/12/2011,1229.5,1230.75,1193.2,1209.25,1596146
8/16/2011,1226.95,1230.75,1206.65,1212.45,1436900
8/17/2011,1207.25,1226.65,1167.15,1169.8,2164821
8/18/2011,1171.8,1172.9,1098.4,1109.25,2586649
8/19/2011,1098.15,1100,1041,1069.6,3193210
8/22/2011,1075.15,1078,1026.2,1051.1,2498301
8/23/2011,1058,1102.9,1051,1083.55,2538610
8/24/2011,1078.55,1114.4,1036,1049.7,2479119
8/25/2011,1055,1063.7,1005.2,1019.25,3869192
8/26/2011,1025.95,1031.85,991.8,1000.3,2196043
8/29/2011,1019,1051.95,1015.5,1039.45,2216055
8/30/2011,1060,1080,1054.95,1072.75,1885385
9/2/2011,1104,1109.7,1048.1,1080.4,2218144
9/5/2011,1073.6,1124.75,1058,1114.45,2747411
9/6/2011,1109,1149,1085.1,1140.45,3018336
9/7/2011,1141.5,1159,1138.95,1143.45,2019630
9/8/2011,1141.55,1160.85,1126.4,1150.55,2489945
9/9/2011,1147.2,1153.9,1096.3,1103.3,2311891
9/12/2011,1090,1092,1042.5,1051.55,1406050
9/13/2011,1055.3,1078.55,1039,1049.85,1550047
9/14/2011,1055,1094.6,1043.25,1088.7,2164644
9/15/2011,1096.7,1123,1066.65,1115.7,1905432
9/16/2011,1131,1140.95,1105.7,1133.35,3263502
9/19/2011,1124.8,1124.8,1099,1104.65,1300820
