Date,Open,High,Low,Close,Volume
2011-06-28,2870.05,2876.85,2843.8,2865.3,560849
2011-06-29,2868,2907,2868,2881.75,600094
2011-06-30,2886.05,2919,2881.5,2910.45,1417730
2011-07-01,2935,2969.95,2924.1,2934.15,800308
2011-07-04,2966.65,2977,2935,2938.95,514324
2011-07-05,2957,2969.9,2926,2956.45,802966
2011-07-06,2947,2972.45,2937.1,2953.7,430028
2011-07-07,2955.2,3000,2943,2995.7,718934
2011-07-08,3000,3023.9,2967.25,2976.55,708724
2011-07-11,2953.9,2976.1,2888.55,2921.15,1150815
2011-07-12,2850,2850,2746.8,2791.55,3706582
2011-07-13,2766,2807.35,2761.05,2777.3,1667271
2011-07-14,2760.25,2764,2731,2740.35,1361403
2011-07-15,2744,2762.95,2720,2731.35,799078
2011-07-18,2735,2743.25,2707.35,2713.4,1176082
2011-07-19,2721,2762,2716.65,2750.5,1040553
2011-07-20,2772.8,2772.8,2745,2752.45,777839
2011-07-21,2745.2,2784.5,2736.8,2768.1,737136
2011-07-22,2784.3,2844,2770,2828.25,968703
2011-07-25,2818,2825.05,2791.1,2807.75,925532
2011-07-26,2809,2824,2787.5,2801.8,856092
2011-07-27,2801,2835.9,2791.2,2796.65,1063305
2011-07-28,2765,2773.9,2734.5,2751.1,1185172
2011-07-29,2741,2782.45,2725.4,2775.9,1219699
2011-08-01,2780.1,2823.8,2780.1,2815.1,761869
2011-08-02,2798.55,2798.55,2745,2750.95,616566
2011-08-03,2735,2739.7,2708.5,2732.6,705761
2011-08-04,2740,2759.95,2704,2709.15,816236
2011-08-05,2643.6,2643.6,2525,2591.2,1969759
2011-08-08,2500,2500,2431,2470.5,2021280
2011-08-09,2351,2439.95,2350.2,2374.55,2106218
2011-08-09,2351,2439.95,2350.2,2374.55,2106218
2011-08-10,2448,2476.4,2411.1,2447.1,1744495
2011-08-11,2432,2469,2414.95,2440.6,1025779
2011-08-12,2488,2488,2342.35,2375.2,1762260
2011-08-16,2430,2438.25,2372.3,2399.3,1268338
2011-08-17,2396,2465.5,2396,2448.95,1066416
2011-08-18,2465,2468.1,2343,2354.1,1334333
2011-08-19,2274,2274,2171.6,2224.7,3612400
2011-08-22,2213.9,2245.1,2175,2194.6,1963509
2011-08-23,2201.25,2302.65,2194,2276.95,2142930
2011-08-24,2280,2284.95,2230,2250.9,1075768
2011-08-25,2250.2,2265.1,2161.5,2183.4,3356719
2011-08-26,2186.5,2252.9,2182.65,2202.55,2627745
2011-08-29,2239,2312.25,2232,2296.25,1402816
2011-08-30,2331,2360,2280,2342.95,1517865
2011-09-02,2385,2385,2275.3,2319.2,1870113
2011-09-05,2293.7,2293.7,2240.2,2265.1,1362818
2011-09-06,2253.9,2320,2222.25,2302.55,1352087
2011-09-07,2297.9,2314.3,2267.65,2291.45,1644679
2011-09-08,2300,2354,2299,2338.45,1378484
2011-09-09,2328.1,2328.1,2261,2274.3,1549013
2011-09-12,2208,2217.35,2180.65,2198.45,1024783
2011-09-13,2223.1,2259.7,2195.75,2222.05,1295652
2011-09-14,2251,2366.9,2249,2351.65,2154610
2011-09-15,2378,2428.5,2330,2409.9,1712932
2011-09-16,2457.9,2457.9,2373.6,2395.15,1413013
2011-09-19,2399,2411.6,2356.1,2362.65,819804
2011-09-20,2377,2440,2375.15,2436.55,1126113
2011-09-21,2440,2454.9,2420,2435.65,925310
2011-09-22,2384,2411.8,2336.65,2352.6,1129732
2011-09-23,2328,2389.8,2321,2338.8,1306054
2011-09-26,2345,2365,2301.1,2355,818036
2011-09-27,2377.2,2468.65,2377.2,2444.15,1292628
